ClusterID	ClusterName	ClusterIDName	Hierarchy	Hierarchy_version08112020	CellOntology
Ref2.T10	Ref2:T_Cell_CD8_Exhausted	Ref2:T10:T_Cell_CD8_Exhausted	L:T:CD8:Ex	L:T:CD8:Ex	exhausted T cell
Ref7.CD8.C4.GZMK	Ref7:CD8-C4-GZMK	Ref7:CD8-C4-GZMK	L:T:CD8:Ex	L:T:CD8:Ex	exhausted T cell
Ref7.CD8.C6.LAYN	Ref7:CD8-C6-LAYN	Ref7:CD8-C6-LAYN	L:T:CD8:Ex	L:T:CD8:Ex	exhausted T cell
Ref2.T9	Ref2:T_Cell_CD8_Naive	Ref2:T9:T_Cell_CD8_Naive	L:T:CD8:Na??ve	L:T:CD8:Na?ve	"naive thymus-derived CD8-positive, alpha-beta T cell"
Ref4.8	Ref4:CD8+ na????ve T cells	Ref4:8:CD8+ naive T cells	L:T:CD8:Na??ve	L:T:CD8:Na?ve	"naive thymus-derived CD8-positive, alpha-beta T cell"
Ref7.CD8.C1.LEF1	Ref7:CD8-C1-LEF1	Ref7:CD8-C1-LEF1	L:T:CD8:Na??ve	L:T:CD8:Na?ve	"naive thymus-derived CD8-positive, alpha-beta T cell"
Ref3.2	Ref3:tissue_resident_T	Ref3:2:tissue_resident_T	X	L:T:CD8:TRM	Tissue-resident memory
Ref6.CD8..mitotic.TRM	Ref6:CD8+ mitotic TRM	Ref6:CD8+ mitotic TRM	L:T:CD8:TRM	L:T:CD8:TRM	Tissue-resident memory
Ref6.CD8..TRM	Ref6:CD8+ TRM	Ref6:CD8+ TRM	L:T:CD8:TRM	L:T:CD8:TRM	Tissue-resident memory
Ref7.CD8.C5.ZNF683	Ref7:CD8-C5-ZNF683	Ref7:CD8-C5-ZNF683	L:T:CD8:TRM	L:T:CD8:TRM	Tissue-resident memory
Ref3.18	Ref3:dividing_T	Ref3:18:dividing_T	L:unconvT	L:unconvT:gdT	gamma-delta T cell
Ref3.9	Ref3:unconv_T	Ref3:9:unconv_T	L:unconvT	L:unconvT:gdT	gamma-delta T cell
Ref6.CD8..gd	Ref6.CD8..????	Ref6.CD8..????	L:unconvT	L:unconvT:gdT	gamma-delta T cell
Ref7.CD4.MAIT	Ref7:CD4-MAIT	Ref7:CD4-MAIT	X	L:unconvT:MAIT	CD4Mait
Ref7.CD8.C7.SLC4A10	Ref7:CD8-C7-SLC4A10	Ref7:CD8-C7-SLC4A10	L:T:CD8:Mait	L:unconvT:MAIT	mucosal invariant T cell
Ref7.DN.MAIT	Ref7:DN.MAIT	Ref7:DN.MAIT	X	L:unconvT:MAIT	DN-Mait
Ref7.other.MAIT	Ref7:other.MAIT	Ref7:other.MAIT	X	L:unconvT:MAIT	otherMait
Ref5.tDC1	Ref5:tDC1	Ref5:tDC1	M:cDC	M:cDC	cDC
Ref5.tDC2	Ref5:tDC2	Ref5:tDC2	M:cDC	M:cDC	cDC
Ref1.29	Ref1:Eosinophil	Ref1:29:Eosinophil	M:Eos	M:Eos	eosinophil
Ref1.25	Ref1:Erythroblast	Ref1:25:Erythroblast	M:Ery	M:Ery	erythroblast
Ref1.26	Ref1:Early-Erythroblast	Ref1:26:Early-Erythroblast	M:Ery	M:Ery	erythroblast
Ref2.24	Ref2:RBC	Ref2:24:RBC	M:Ery	M:Ery	erythrocyte
Ref3.19	Ref3:Ery	Ref3:19:Ery	M:Ery	M:Ery	erythrocyte
Ref4.10	Ref4:Early erythrocytes	Ref4:10:Early erythrocytes	M:Ery	M:Ery	erythrocyte
Ref4.13	Ref4:Late erythrocytes	Ref4:13:Late erythrocytes	M:Ery	M:Ery	erythrocyte
Ref5.tRBC	Ref5:tRBC	Ref5:tRBC	M:Ery	M:Ery	erythrocyte
Ref5.tMac1	Ref5:tMac1	Ref5:tMac1	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac2	Ref5:tMac2	Ref5:tMac2	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac3	Ref5:tMac3	Ref5:tMac3	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac4	Ref5:tMac4	Ref5:tMac4	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac5	Ref5:tMac5	Ref5:tMac5	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac6	Ref5:tMac6	Ref5:tMac6	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac7	Ref5:tMac7	Ref5:tMac7	M:Mac	M:Mono:Mac	macrophage
Ref5.tMac8	Ref5:tMac8	Ref5:tMac8	M:Mac	M:Mono:Mac	macrophage
Ref5.tMast1	Ref5:tMast1	Ref5:tMast1	M:Mast	M:Mast	mast cell
Ref5.tMast2	Ref5:tMast2	Ref5:tMast2	M:Mast	M:Mast	mast cell
Ref4.15	Ref4:Megakaryocytes	Ref4:15:Megakaryocytes	M:Mega	M:Mega	megakaryocyte
Ref1.23	Ref1:Platelet	Ref1:23:Platelet	M:Mega:Platelet	M:Mega:Platelet	platelet
Ref2.22	Ref2:Activated_Platelets	Ref2:22:Activated_Platelets	M:Mega:Platelet	M:Mega:Platelet	platelet
Ref1.32	Ref1:Monocyte	Ref1:32:Monocyte	M:Mono	M:Mono	monocyte
Ref2.10	Ref2:Monocyte_Classical	Ref2:10:Monocyte_Classical	M:Mono	M:Mono	classical monocyte
Ref2.15	Ref2:Monocyte_Classical	Ref2:15:Monocyte_Classical	M:Mono	M:Mono	classical monocyte
Ref2.18	Ref2:Monocyte_Classical	Ref2:18:Monocyte_Classical	M:Mono	M:Mono	classical monocyte
Ref2.2	Ref2:Monocyte_Classical	Ref2:2:Monocyte_Classical	M:Mono	M:Mono	classical monocyte
Ref2.3	Ref2:Monocyte_Classical	Ref2:3:Monocyte_Classical	M:Mono	M:Mono	classical monocyte
Ref2.4	Ref2:Monocyte_Non-Classical	Ref2:4:Monocyte_Non-Classical	M:Mono	M:Mono	non-classical monocyte
Ref4.2	Ref4:CD14+ monocytes	Ref4:2:CD14+ monocytes	M:Mono	M:Mono	CD14-positive monocyte
Ref4.3	Ref4:CD16+ monocytes	Ref4:3:CD16+ monocytes	M:Mono	M:Mono	"CD14-low, CD16-positive monocyte"
Ref5.tMono1	Ref5:tMono1	Ref5:tMono1	M:Mono	M:Mono	monocyte
Ref5.tMono2	Ref5:tMono2	Ref5:tMono2	M:Mono	M:Mono	monocyte
Ref5.tMono3	Ref5:tMono3	Ref5:tMono3	M:Mono	M:Mono	monocyte
Ref3.10	Ref3:Non-InflamMacs	Ref3:10:Non-InflamMacs	M:Mac	M:Mono:Mac	tissue-resident macrophage
Ref2.14	Ref2:Dendritic_Cell	Ref2:14:mDC	M:cDC	M:Mono:mDC	cDC
Ref4.9	Ref4:Dendritic cells	Ref4:9:mDC	M:cDC	M:Mono:mDC	cDC
Ref1.30	Ref1:Neutrophil	Ref1:30:Neutrophil	M:Neu	M:Neu	neutrophil
Ref5.tN1	Ref5:tN1	Ref5:tN1	M:Neu	M:Neu	neutrophil
Ref5.tN2	Ref5:tN2	Ref5:tN2	M:Neu	M:Neu	neutrophil
Ref5.tN3	Ref5:tN3	Ref5:tN3	M:Neu	M:Neu	neutrophil
Ref5.tN4	Ref5:tN4	Ref5:tN4	M:Neu	M:Neu	neutrophil
Ref5.tN5	Ref5:tN5	Ref5:tN5	M:Neu	M:Neu	neutrophil
Ref1.34	Ref1:Dendritic Cell	Ref1:34:pDC	L:pDC;M:pDC	M:pDC	plasmacytoid dendritic cell
Ref2.19	Ref2:Plasmactoid_Dendritic_Cell	Ref2:19:Plasmactoid_Dendritic_Cell	L:pDC;M:pDC	M:pDC	plasmacytoid dendritic cell
Ref4.19	Ref4:Plasmacytoid dendritic cells	Ref4:19:Plasmacytoid dendritic cells	L:pDC;M:pDC	M:pDC	plasmacytoid dendritic cell
Ref5.tpDC	Ref5:tpDC	Ref5:tpDC	L:pDC;M:pDC	M:pDC	plasmacytoid dendritic cell
Ref1.20	Ref1:CD8 T-cell	Ref1:20:CD8 T-cell	X	X	"CD8-positive, alpha-beta T cell"
Ref1.21	Ref1:Naive_T_Cell	Ref1:21:Naive_T_Cell	X	X	naive T cell
Ref1.28	Ref1:Granulocytic-UNK	Ref1:28:Granulocytic-UNK	M	X	granulocyte
Ref1.31	Ref1:Immature-Neutrophil	Ref1:31:Immature-Neutrophil	M	X	immature neutrophil
Ref1.33	Ref1:Stromal	Ref1:33:Stromal	X	X	X
Ref2.17	Ref2:Cell_Cycle	Ref2:17:Cell_Cycle	X	X	X
Ref2.23	Ref2:T_Cell_CD8	Ref2:23:T_Cell_CD8	X	X	X
Ref2.9	Ref2:Monocyte_Classical_Platelets	Ref2:9:Monocyte_Classical_Platelets	X	X	X
Ref2.T6	Ref2:T_Cell_CD4_Apoptotic	Ref2:T6:T_Cell_CD4_Apoptotic	X	X	X
Ref3.4	Ref3:InflamMacs	Ref3:4:InflamMacs	X	X	X
Ref3.8	Ref3:NK-like_cells	Ref3:8:NK-like_cells	X	X	natural killer cell
Ref4.5	Ref4:CD4+ memory T cells	Ref4:5:CD4+ memory T cells	X	X	"CD4-positive, alpha-beta memory T cell"
Ref4.7	Ref4:CD8+ effector T cells	Ref4:7:CD8+ effector T cells	L:T:CD8:EM	X	"effector CD8-positive, alpha-beta T cell"
Ref5.tDC3	Ref5:tDC3	Ref5:tDC3	M:cDC	X	cDC
Ref5.tMac9	Ref5:tMac9	Ref5:tMac9	M:Mac	X	macrophage
Ref5.tMacCycl	Ref5:tMacCycl	Ref5:tMacCycl	M:Mac	X	macrophage
Ref5.tMonoDC	Ref5:tMonoDC	Ref5:tMonoDC	X	X	X
Ref5.tT1	Ref5:tT1	Ref5:tT1	X	X	T cell
Ref5.tT2	Ref5:tT2	Ref5:tT2	X	X	T cell
Ref5.tT3	Ref5:tT3	Ref5:tT3	X	X	T cell
Ref5.tT4	Ref5:tT4	Ref5:tT4	X	X	T cell
Ref5.tT5	Ref5:tT5	Ref5:tT5	X	X	T cell
Ref5.tT6	Ref5:tT6	Ref5:tT6	X	X	T cell
Ref5.tT7	Ref5:tT7	Ref5:tT7	X	X	T cell
Ref7.CD4.iNKT	Ref7:CD4-iNKT	Ref7:CD4-iNKT	X	X	iNKT
Ref7.DN.diverse	Ref7:DN.diverse	Ref7:DN.diverse	X	X	DN-T
Ref7.DP.diverse	Ref7:DP.diverse	Ref7:DP.diverse	X	X	DP-T
Ref7.other.diverse	Ref7:other.diverse	Ref7:other.diverse	X	X	other
